pvm lämpötila
15.2.2015 -10 C
15.2.2015 -10 C
16.2.2015 -10 C
16.2.2015 -10 C
16.2.2015 -9 C
16.2.2015 -7 C
16.2.2015 -5 C
16.2.2015 -4 C
16.2.2015 -4 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -4 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
16.2.2015 -3 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -1 C
17.2.2015 -1 C
17.2.2015 -1 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -2 C
17.2.2015 -1 C
18.2.2015 -1 C
18.2.2015 -1 C
18.2.2015 -1 C
18.2.2015 -1 C
18.2.2015 -1 C
18.2.2015 -2 C
18.2.2015 -3 C
18.2.2015 -4 C
18.2.2015 -3 C
18.2.2015 -3 C
18.2.2015 -2 C
18.2.2015 -1 C
18.2.2015 -1 C
18.2.2015 0 C
18.2.2015 -1 C
18.2.2015 -3 C
18.2.2015 -4 C
18.2.2015 -5 C
18.2.2015 -8 C
18.2.2015 -7 C
18.2.2015 -8 C
